Chashu/msra face dist log,2019-10-20,Closed,3760,"9,223","1,112",h cpp ,6
add FutureValue Op's custom attributes into Scan node's description,2019-07-26,Merged,3725,28,1,,1
remove an assert that seems to be too conservative,2019-07-19,Merged,3723,1,2,,1
added a mapping from onnx outputs to cntk outputs into the graph's description,2019-07-18,Merged,3722,30,3,,1
Distributed training update,2019-07-09,Merged,3711,"3,741",568,bs cpp ,8
Export custom attributes on Times node to ONNX file,2019-07-05,Merged,3709,83,3,,1
Lewlu/msra face dist,2019-06-28,Merged,3706,"1,025",410,h cpp ,9
Lewlu/msra face dist,2019-06-28,Merged,3705,856,409,h cpp ,9
bug fix,2019-06-18,Merged,3701,5,5,,1
bug fix,2019-06-18,Merged,3700,5,5,,1
bug fix,2019-06-17,Merged,3699,2,2,,1
bug fix,2019-06-17,Merged,3698,2,2,,1
bug fix,2019-06-16,Merged,3697,2,7,,1
bug fix,2019-06-16,Merged,3696,2,7,,1
refix dropout node,2019-06-14,Merged,3695,8,8,h ,2
refix dropout node,2019-06-14,Merged,3694,7,7,,1
bug fix,2019-06-12,Merged,3692,1,1,,1
bug fix,2019-06-11,Merged,3689,1,1,,1
Globalconcat layer,2019-06-11,Merged,3688,83,93,,1
Distributed FC,2019-06-11,Merged,3687,"3,078",294,bs cpp ,11
Distributed FC,2019-06-11,Closed,3686,"7,940","1,009",h cpp bs vcxproj ,11
test,2019-06-11,Closed,3685,"3,077",299,bs cpp ,11
Distributed FC,2019-06-11,Closed,3684,"3,092",296,bs cpp ,11
Distributed FC,2019-06-11,Closed,3683,"3,081",297,bs cpp ,11
dropout node,2019-06-11,Merged,3682,1,1,,1
bn momentum,2019-06-11,Merged,3681,23,1,h ,4
add adabound and amsbound,2019-06-04,Merged,3677,352,24,cu cuh cpp ,10
fix bug in adamUpdate,2019-06-04,Merged,3675,33,7,cpp ,2
change eps 1e-6 to 1e-12,2019-06-07,Merged,3663,1,1,,1
fix load final model file,2019-04-19,Merged,3645,4,1,,1
"fix noisy bug, add subfolder, load model from whatever subfolder",2019-04-11,Merged,3635,69,13,h ,4
Lewlu/msra face,2019-04-11,Closed,3634,68,14,h vcxproj bat ,6
Rpengms/fp16 bs bugfix,2019-04-09,Merged,3632,163,157,,0
Newenv,2019-06-06,Closed,3625,159,9,cpp h cuh cu configure ,13
Newenv,2019-04-06,Closed,3624,157,7,cpp h cuh cu configure ,13
Lewlu/msra face,2019-04-10,Merged,3623,151,2,cpp h cu ,10
Newenv,2019-04-06,Closed,3622,"5,153",998,cpp bs vcxproj h ,6
Newenv,2019-04-06,Closed,3621,163,12,bs cpp h cuh cu configure ,14
Newenv,2019-04-06,Closed,3620,"5,153",998,cpp bs vcxproj h ,6
Lewlu/msra face,2019-04-06,Closed,3619,151,2,cpp h cu ,10
fp16 - brain script add to CNTK.core.bs,2019-04-01,Merged,3617,56,11,cpp h ,3
Tizhan/msra face disable reg,2019-06-05,Merged,3612,23,14,cpp csproj ,4
merge fp16_bs fix,2019-03-22,Merged,3609,45,9,cpp ,4
Merge fp16 brainscript work,2019-03-20,Merged,3606,769,187,h cpp ,9
Lewlu/msra face,2019-03-18,Merged,3602,20,7,h ,6
Lewlu/msra face,2019-03-18,Closed,3600,20,7,h ,6
Lewlu/msra face,2019-03-13,Merged,3594,53,15,cpp ,3
Add adam and adaMax optimizer for BS,2019-05-07,Merged,3591,405,117,cu cuh ,5
Add useV2Aggregator to SGD config,2019-02-28,Merged,3574,7,2,h ,3
Rpengms/fp16 bmuf,2019-03-01,Merged,3573,33,11,cpp ,4
Fix typo,2019-02-26,Merged,3561,1,1,,0
Free nnzPerRowOrCol at end of SetValue,2019-02-25,Merged,3558,1,0,,1
hide protobuf library symbols,2019-02-08,Merged,3550,5,1,,1
Fix several DeprecationWarning: invalid escape sequence,2019-01-06,Merged,3549,42,42,,24
Fix typo,2019-02-27,Merged,3514,1,1,,0
Fix typo,2018-11-24,Merged,3512,1,1,,1
Bmuf float16,2018-11-16,Merged,3506,12,8,cpp ,2
add disableMomentumUnitGain,2018-11-05,Merged,3495,13,8,h ,2
final rmsprop update,2018-11-05,Merged,3494,152,376,cpp ,5
Rmsprop optimizer,2018-11-05,Closed,3493,"4,924",976,bs cpp vcxproj h ,5
fix typo,2019-02-27,Merged,3492,1,1,,0
Fix some typos on Tutorials README,2019-02-28,Merged,3491,3,3,,0
add disableMomentumUnitGain,2018-11-05,Closed,3490,11,6,h ,2
PReLU activation was not supported by the caffe conversion tools.,2019-02-23,Closed,3487,40,1,,4
Fix several grammar errors,2019-02-28,Merged,3486,3,3,,0
RMSprop update,2018-10-29,Closed,3485,178,403,cpp ,5
Update README.md,2019-10-14,Closed,3484,1,1,,0
fixed errors,2019-02-28,Merged,3482,17,17,,0
code comments typo correction,2019-02-28,Merged,3477,7,7,,1
Added better documentation to forward_backward,2018-10-31,Merged,3476,72,6,,1
readme_hin.md,2019-02-28,Closed,3459,4,0,,0
Spelling issue,2019-02-28,Merged,3458,1,1,,0
"Fix typo ""evalutaion"" => ""evaluation""",2019-02-28,Merged,3455,2,2,,1
Fix documentation misspellings,2019-10-15,Closed,3434,8,8,md ,1
Fix typo,2019-02-28,Merged,3431,2,2,,0
fix network graph plotting for Python > 3.4,2018-10-17,Closed,3414,11,4,,1
Update to 2.6.0,2018-09-24,Merged,3406,"13,224","3,156",props md csproj config vcxproj ,6
Fix issue#3228 and #3363 which found when build with MSVC+ permissive-,2018-08-28,Merged,3374,7,7,cpp ,2
Fmeasure,2018-08-10,Merged,3343,5,4,,1
fix parameter sharing bug,2018-08-07,Merged,3339,3,2,,1
Add more logging into HTKDeserializer,2018-08-04,Merged,3337,4,0,,1
Fix overlapping memcpy reported by valgrind in SmallVector,2018-08-01,Merged,3331,2,0,,1
Release/latest,2018-09-15,Closed,3297,257,229,gitignore props md csproj config vcxproj ,11
added fmeasure loss function,2018-08-01,Merged,3284,75,1,,2
Fix saved model name output,2018-07-04,Merged,3277,1,1,,1
Tix fix restored test failures,2018-06-27,Closed,3272,36,46,Tests/EndToEndTests/CNTKv2CSharp/ExampleTests/CifarResNetClassifierTest/run-test yml ,10
updatre onnx 1.2.1,2018-06-08,Merged,3252,"9,765","7,281",vcxproj filters cpp h ,6
Make it to build in VS.,2018-06-07,Merged,3245,60,25,cpp cu h ,13
Release/latest,2018-07-04,Closed,3225,257,229,gitignore props md csproj config vcxproj ,11
Release/latest,2018-05-22,Closed,3215,257,229,gitignore props md csproj config vcxproj ,11
Handle intermediate directory creation properly,2019-05-04,Closed,3192,1,1,,1
Introduce EditorConfig settings for C#,2018-05-14,Closed,3165,6,0,,1
Upgrade C# projects to MSBuild 15 format,2018-05-14,Closed,3164,147,885,sln csproj json config cs ,8
Increased the number of state variable accepted by Recurrence,2018-05-18,Merged,3163,49,5,,2
Allow to add some extra cxxflags via env,2018-04-25,Merged,3156,2,2,,1
(chore) Cleanup ./README.md,2018-04-23,Merged,3140,113,101,,0
Remove unnecessary sys/io.h,2018-04-27,Merged,3126,0,2,h ,2
change cprintf to use vsnprintf,2018-04-19,Merged,3124,13,14,,1
fix math test error,2018-04-17,Merged,3121,31,19,cpp cu ,5
Kedeng/mkldnn,2018-04-12,Merged,3117,"1,479",259,cntk Makefile ,6
fix the cntk version in the sample,2018-03-26,Merged,3065,1,1,,1
Release/latest,2018-04-17,Closed,3064,257,224,props md csproj config vcxproj ,10
Release/latest,2018-03-20,Closed,3050,257,224,props md csproj config vcxproj ,10
remove unnecessary MKL data conversion in resize and setvalue,2018-03-13,Merged,3036,4,1,,1
MKLDNN primitive support for VGG model,2018-04-13,Closed,3021,"5,155",530,cntk Makefile vcxproj cpp bs ,9
Fix copy paste bug,2018-03-09,Merged,3018,2,2,,1
Release/latest,2018-03-16,Closed,3014,198,161,csproj config vcxproj ,9
Dev,2018-03-05,Closed,3006,64,143,md h cpp docx ,5
Automate Maven Deployment,2018-03-05,Merged,3000,87,1,Makefile md sh xml ,4
Include <functional> in EvaluatorWrapper,2018-02-27,Merged,2988,1,0,,1
Fix Java Dependencies and Java Tests,2018-02-26,Merged,2979,5,1,java ,2
Fixing typo in Manual_How_to_feed_data.ipynb,2018-03-08,Merged,2978,2,2,,1
Merge pull request #1 from Microsoft/master,2018-02-17,Closed,2967,0,0,,0
removed dead link easons to switch to CNTK from Tensorflow from read…,2018-03-08,Merged,2959,0,1,,0
Fix typo,2018-03-08,Merged,2951,1,1,,1
Fix typo in C# examples,2018-02-09,Merged,2940,16,15,cs ,8
Merge pull request #1 from Microsoft/master,2018-07-04,Closed,2935,0,0,,0
Release/latest,2018-02-14,Closed,2925,198,161,csproj config vcxproj ,9
Nikosk/bidaf,2018-02-05,Merged,2919,12,3,,0
Do not allow BlockRandomizer to cross sweeps,2018-01-30,Closed,2906,1,1,,1
Release/latest,2018-01-31,Closed,2888,134,84,csproj config vcxproj ,18
Update post-build.cmd,2018-01-30,Merged,2887,11,2,vcxproj cmd ,3
Remove redundant code in CNTK_204_Sequence_To_Sequence.ipynb,2018-02-09,Merged,2881,1,7,,1
Fix TensorBoard on_write_test_summary method,2018-02-09,Merged,2880,1,1,,1
filter some query by type,2018-01-22,Merged,2865,"9,689",38,ckp json md py ,10
Translated tutorial notebooks with new pytest fixture notebook_path,2018-01-17,Closed,2851,"2,332",59,,20
Fixed typos in tutorials.,2018-02-09,Merged,2843,7,7,,3
Small changes for CUDA 9 compatibility,2018-01-15,Closed,2840,20,4,h ,2
Grammar fix.,2018-02-09,Merged,2822,1,1,,0
Fixes #2704,2018-01-12,Merged,2805,3,3,,1
Test Automatic build trigger,2017-12-18,Closed,2785,1,0,,0
Bug fixes: fp16 default behavior,2017-12-12,Merged,2759,15,4,h ,3
"Changes required to build on Ubuntu 16.04/gcc 5.4, plus javadoc",2018-02-14,Closed,2754,5,4,cpp ,2
Release/2.3,2017-12-06,Closed,2738,469,88,md csproj config vcxproj ,17
fix readonly bug in Value::Create(); adapt and add tests,2017-12-17,Closed,2720,"136,464","6,251",props sln txt md sh cmd ,6
distributed Faster R-CNN modules,2017-12-06,Merged,2718,42,6,md ,4
always need to update data size,2017-12-13,Closed,2701,1,5,,1
Adding ResNet101_ImageNet_CNTK/ResNet152_ImageNet_CNTK in download_model.py.,2018-02-09,Merged,2690,2,0,,1
Fixing bug in GroupConvolution.,2018-02-08,Closed,2686,3,3,,1
Add new dependencies to build docker image,2017-11-23,Merged,2655,1,1,,1
fix typos and update links,2017-11-29,Merged,2652,70,102,,0
Update 2.3 iteration,2017-12-22,Closed,2644,24,4,,0
Fix Dockerfiles --with-mkl path for Intel MKL-DNN(2017-11-10).,2017-11-17,Merged,2628,6,3,Tools/docker/CNTK-GPU-1bit-Image/Dockerfile Tools/docker/CNTK-GPU-Image/Dockerfile ,3
Fix libzip download url,2017-11-17,Merged,2627,3,3,Tools/docker/CNTK-GPU-1bit-Image/Dockerfile Tools/docker/CNTK-GPU-Image/Dockerfile ,3
change libzip download url,2017-11-17,Closed,2626,1,1,,1
change --with-mkl path,2017-11-17,Closed,2625,2,1,,1
Disable UCF11 test,2017-11-13,Merged,2615,3,2,,1
Upgrade imageio to 2.2.0,2017-11-10,Merged,2605,11,237,yml ,8
Vgg comment,2017-11-07,Closed,2580,3,1,,2
fix the bug where CNTK throws out a warning; also fix the bug where the Jupyter notebook cannot run,2017-11-03,Merged,2579,7,5,,1
eanble CNTK build with mklml library,2017-11-08,Merged,2570,33,78,Makefile h cpp vcxproj Tools/make_binary_drop_linux bat configure ,8
BrainScript: Softmax() leverages ReduceLogSum() on parametric axis,2017-12-05,Merged,2568,3,8,,1
Distributed learning for Fast R-CNN with BrainScript,2017-11-01,Merged,2564,35,3,md ,2
Changed setting in selecting VGGNet16 as base_model for Fast/Faster R-CNN,2017-11-02,Closed,2562,5,3,,2
Updated distributed learning for Fast R-CNN.,2017-10-28,Closed,2561,36,4,md ,2
MKL2017 BatchNorm Fwd+Bwd* Pass implementation,2017-11-30,Closed,2541,"3,910","1,284",sh txt ,2
MKL2017 BatchNorm Fwd Pass implementation,2017-11-30,Closed,2540,669,1,,0
MKL2017 BatchNorm Fwd Pass implementation,2017-10-24,Closed,2539,416,1,h ,2
Update README.md,2018-02-09,Closed,2536,2,2,,0
Updated Super Resolution tutorial on CNTK,2018-02-27,Closed,2504,"2,840",0,,4
Added a ImageTransformer to resize images without altering the aspect ratio,2017-10-16,Closed,2493,105,1,cpp py ,6
fixed a mistake in Tutorials\CNTK_101_LogisticRegression.ipynb,2017-11-07,Merged,2486,2,2,,1
change return RuntimeError to raise RuntimeError,2017-10-12,Merged,2483,3,3,,2
Fix typos,2017-10-13,Merged,2470,14,14,h cpp py ,6
fix combine java impl,2017-10-11,Merged,2466,1,1,,1
Fix typos,2017-10-04,Merged,2434,12,12,cpp ipynb py ,11
Super-resolution tutorial,2018-02-27,Closed,2431,"2,835",0,,4
fix building issus with cub 1.7.4(or 1.7.x) and cudnn 7,2018-02-14,Closed,2429,16,3,h ,2
Modified Fast R-CNN scripts for distributed learning.,2017-11-07,Closed,2414,40,6,md ,4
minor bug fix,2017-09-24,Merged,2402,1,1,,1
Minor Bug In PARAMETERS.py in Examples/Image/Detection/FastRCNN/PARAMETERS.py,2017-09-23,Closed,2401,"2,095,148","2,888,250",gitignore gitmodules props ,4
Adding cntk 209 super-resolution tutorial,2018-02-27,Closed,2399,"2,835",0,,4
'Reader' object has no attribute '_frame_catcher',2017-12-01,Closed,2385,4,3,,1
Adding data preparation notebook for super resolution tutorial.,2017-09-22,Closed,2377,543,0,,3
Fix typos,2017-09-18,Merged,2370,2,2,,1
Cosmetic typo fix in C# training ReadMe,2017-09-17,Merged,2366,3,3,,0
Fixes error: ‘openblas_set_num_threads’ was not declared in this scope,2018-12-27,Closed,2365,5,0,,1
"Fixes ""'exp' was not declared""",2017-09-17,Merged,2364,1,0,,1
Minor fixes (proposal),2017-09-17,Merged,2357,4,4,,0
Fix typos,2017-09-17,Merged,2338,1,1,,1
numeric_limits::min returns positive value for floats - breaks argmax,2017-09-12,Merged,2280,2,2,,1
Fix typos,2017-08-30,Merged,2275,1,1,,0
MKL2017 integration for convolutions.,2017-08-29,Closed,2274,747,239,,0
Update folder link in docs,2017-08-23,Merged,2254,1,1,,0
update folder link in docs,2017-08-23,Closed,2253,442,99,py ipynb cntk md h ,16
Fix cudnn convolution crash when workspace size is not properly tracked,2017-08-23,Merged,2239,137,109,,0
implement atanh operation,2017-10-13,Merged,2227,172,2,bs h cu cuh i ,25
Fix typos,2017-09-17,Merged,2212,12,12,sh cpp h cu py ,11
implement asinh operation,2017-10-20,Merged,2207,167,3,bs h cu cuh i ,25
Release/2.1,2017-08-10,Closed,2206,"6,711",738,props sln csproj config vcxproj ,17
Fix typos,2017-08-11,Merged,2205,12,12,py h ipynb ,9
Basic CShape API for Training,2017-09-07,Closed,2203,"26,093","1,444",config csproj cs nupkg ,12
Fix typos,2017-08-04,Merged,2188,5,5,cpp py ,5
Tweaks for cuda9 build support,2018-02-13,Closed,2186,40,17,h cu ,3
Examples/Image/Detection/FasterRCNN/README.md misspelled command fix,2017-08-04,Merged,2185,1,1,,0
Release/2.1,2017-08-03,Closed,2183,"6,711",738,props sln csproj config vcxproj ,17
optimize AggregateGradientsImpl (async pipeline) for non-GDR & GPU sc…,2017-09-27,Closed,2182,99,65,,1
Release/2.1,2017-08-02,Closed,2177,"6,710",737,props sln csproj config vcxproj ,17
Fix typos,2017-08-01,Merged,2171,5,5,cpp h ,4
install multiverso and install to CMAKE_INSTALL_PREFIX,2017-07-30,Closed,2168,3,1,,1
"implement asin and acos functions, ref: #2109",2017-08-01,Closed,2162,339,8,bs h cu cuh ,18
Fix typos,2017-07-24,Merged,2153,11,11,h cu ,11
Remove unavalible link,2017-07-24,Merged,2146,1,1,,1
wip: add R bindings,2017-08-12,Closed,2138,"27,647",0,Rbuildignore bindings/R/DESCRIPTION ,4
BS.Constants.Range(dims) as 1D constant tensor,2017-07-20,Merged,2135,2,0,,1
Add C# API for CopyVariableValueTo for sparse data,2017-08-03,Closed,2134,148,2,i csproj ,6
fix getitem for multioutput to fallback to outputs,2017-07-19,Closed,2131,10,0,,1
Fix combine to accept tuple,2017-07-19,Closed,2130,17,2,,1
Fix typos,2017-07-18,Merged,2127,7,7,bs cpp py ,5
Fixing missing std namespace errors (for KaldiReader),2017-07-17,Merged,2120,5,5,,3
implement hyperbolic functions,2017-07-22,Merged,2117,333,2,bs h ,15
Resolves: Undefined Reference to GetTensorView,2017-07-12,Merged,2104,3,0,,1
Adding 'template' keyword (compiling with GCC),2017-08-03,Merged,2103,2,1,,1
add unit test for operation from caffe to cntk,2017-07-10,Merged,2100,677,0,,0
add test case for operations from caffe2cntk,2017-07-10,Closed,2099,718,0,,0
Fix typos,2017-07-10,Merged,2097,5,5,,3
Fix load_model for python3.6 with pathlib,2017-07-09,Merged,2095,1,1,,1
Improve exception msg for load_model,2017-07-09,Merged,2094,1,1,,1
Added files to create train_map and val_map files for Alexnet in CNTK,2017-09-20,Closed,2093,124,0,py ,2
Fix typos,2017-07-07,Merged,2092,3,3,txt h ,2
README added to clarify BinaryReader vs CNTKBinaryReader,2017-10-30,Closed,2089,0,0,,0
Fix typos,2017-07-06,Merged,2086,9,9,cpp h ipynb ,9
'totalSamplesSeen' cast as Int64 instead of Int32 to avoid overflow,2017-07-05,Merged,2082,1,1,,1
Fix typos,2017-07-05,Merged,2080,11,11,cpp cu cuh ,11
'totalSamplesSeen' cast as Int64 instead of Int32 to avoid overflow,2017-07-04,Closed,2078,1,1,,1
Fix typos,2017-07-04,Merged,2076,23,23,cpp ,11
implement selu activation function,2017-07-11,Merged,2072,67,6,cpp i py ,5
added sample python notebook for composite data readers,2017-08-22,Closed,2069,874,0,png ctf map ,10
Fix typos,2017-06-29,Merged,2065,16,16,md ipynb cpp h txt py ,12
Add a Gitter chat badge to README.md,2017-06-28,Merged,2059,2,0,,0
ctf2bin.py upgraded to Python 3.3+,2017-06-27,Merged,2053,4,4,,1
Add Native Files to Evaluation Jar,2017-10-13,Merged,2032,322,74,Tests/EndToEndTests/EvalClientTests/JavaEvalTest/run-test vcxproj java i ,5
Fix typos,2017-06-23,Merged,2030,20,20,ipynb h cpp bat Tools/generate_build_info i py ,18
rewrote a few sentences and fixed typos,2017-08-11,Closed,2022,28,26,,0
Merge pull request #1 from Microsoft/master,2017-06-21,Closed,2020,0,0,,0
Minor revisions to CNTK_101_LogisticRegression.ipynb (phrasing/clarification),2017-06-21,Merged,2011,62,62,,0
