Fixed: 4 digit year for log lines,2020-01-12,Merged,4059,1,1,,1
Fix NZB Finder categories,2020-01-10,Merged,4054,1,1,,1
"Fix indexer seed options, Re-Enable Indexer Flags",2020-01-07,Merged,4039,144,22,cs ,16
Add Radarr_Download_Client to OnDownload,2020-01-06,Merged,4034,1,0,,1
Fixed: Always full build on branch builds,2020-01-05,Merged,4030,4,0,,1
New: Squash Pre-Fork Sonarr Migrations,2020-01-10,Merged,4029,471,"5,120",,4
Fixed: Regression setting file date,2020-01-05,Merged,4028,7,139,,3
"Fixed: Build on Backend, Not Don’t Build If any Non Backend",2020-01-03,Merged,4026,16,16,,1
Aphrodite language select,2020-01-03,Merged,4025,176,218,css ,7
Fixed: Reverted a change that caused SQL error on Netimport,2020-01-03,Merged,4024,3,7,,2
Treat any CF over FormatCutoff as being Cutoff met,2020-01-02,Merged,4021,128,71,,11
Fixed: Correctly add parameters to migrations 36 and 154,2019-12-30,Merged,4017,5,0,,2
Fixed: Don't Clean list movies if IMDB Match,2019-12-30,Merged,4016,414,11,,0
Fixed: Handle 3 digit audio channels,2020-01-07,Merged,4002,53,19,,2
New: Don't Run Unit/Integration/Analyze Back if no back end changes,2019-12-28,Merged,4001,80,12,,1
Fix sentry project names,2019-12-23,Merged,4000,2,2,,1
Fixed: File move uses rename not copy/delete in more cases,2019-12-25,Merged,3999,31,5,,3
Update sentry DSN to self hosted,2019-12-23,Merged,3998,7,6,js cs ,3
Fix Aphrodite formatting and apply stylecop rules,2019-12-28,Merged,3997,"8,695","7,958",gitignore cs props ,19
Slim down mono test suite,2019-12-22,Merged,3996,7,19,,1
Update NewznabRequestGenerator.cs,2019-12-22,Closed,3983,1,0,,1
Fixed: Speedup UI during refresh,2020-01-04,Merged,3982,48,97,cs ,7
Fixed: Error in epic fail handler if console input redirected,2019-12-19,Merged,3974,1,1,,1
Fixed: Null exception on EnhanceMovieInfo,2019-12-19,Merged,3973,6,6,,1
fix language debug,2019-12-19,Merged,3971,1,1,,1
Swap Marr.Data for Dapper Mk. 2,2019-12-28,Merged,3968,"2,414","11,291",xml cs ,7
Revert: Dapper Commits due to Join Issues,2019-12-18,Merged,3964,"11,381","2,134",cs ruleset targets ,6
Fixed: Use Download Client name for grabbed history events,2019-12-19,Merged,3963,1,1,,1
Fixed: Serialize flag enum as string also,2019-12-17,Merged,3962,1,18,,2
WIP: Include Dolby Vision In HDR detection,2020-01-12,Closed,3959,36,3,,3
Include Dolby Vision In HDR detection,2019-12-17,Closed,3953,13,4,,1
New: Change Automation timeout to 3min,2019-12-15,Merged,3951,3,1,,1
Revert: Geckodriver from 0.26.0 to 0.24.0,2019-12-15,Closed,3950,4,4,sh csproj ,3
New: Aphrodite smart refresh,2019-12-17,Merged,3949,86,11,js cs ,15
New: Trakt Auth per List,2019-12-15,Merged,3948,117,118,,8
"Revert ""Fixed: .srt files in subfolders are not being imported""",2019-12-12,Merged,3945,12,30,,4
Fix languages property,2019-12-15,Merged,3944,2,2,,2
Fixed: Webpack worker loading with UrlBase,2019-12-11,Merged,3939,4,5,,3
Fixed: Sonar failure on external forks,2019-12-10,Merged,3937,4,1,,1
Fix typo in LogentriesCore.csproj,2019-12-10,Merged,3936,2,2,,1
New: Update MonoTorrent from nuget,2020-01-09,Merged,3933,4,"4,241",,1
Fixed: Poster/Overview checkbox in Movie Editor mode,2019-12-09,Merged,3932,8,4,,2
download client settings: change strings to match Radarr,2019-12-08,Merged,3929,3,3,,3
New: Hookup SonarCloud,2019-12-07,Merged,3927,116,81,csproj runsettings sh ,11
Fixed: UI Search,2019-12-06,Merged,3924,1,1,,1
New: Bump to .NET Core 3.1,2019-12-07,Merged,3923,136,142,sh json props csproj cs ,13
New: UI Package Updates,2019-12-07,Merged,3920,"1,504","1,357",js json cs ,3
New: Combine Solutions via Configurations,2019-12-05,Closed,3917,345,444,sln ,2
FIXED: minimumAvailability spec for lists missing(was in develop),2019-12-04,Merged,3916,13,0,cs ,2
New: Bump Version to V3 to please the masses,2019-12-05,Merged,3915,556,657,yml sh plist iss cs csproj ,33
New: Replace Marr.Data with Dapper,2019-12-16,Merged,3911,"2,168","11,378",cs ruleset targets ,6
need to be able to specify the intended minimumAvailability for the t…,2019-12-03,Closed,3906,124,109,cs ,2
Added a EAC3 Atmos option,2019-12-10,Merged,3900,7,2,,2
Add in last and in next filter types,2019-11-27,Closed,3894,16,0,,1
Increase session expiry time,2019-12-02,Closed,3888,1,1,,1
Fix: Typo in UI dropdown for time format,2019-11-24,Merged,3886,1,1,,1
Update README.md,2019-11-16,Merged,3883,7,7,,0
use isAvailable to determine if a movie isAvailable.,2019-11-16,Merged,3882,26,3,,3
needed to add hasFile in the FooterConnector otherwise getting 0,2019-11-16,Merged,3881,18,3,,2
Fixed: Cutoff Status and Filter on MovieIndex,2019-12-22,Closed,3880,84,36,cs ,4
add this code back since it can vastly improve netimport performance,2019-11-16,Merged,3879,6,0,,1
WIP: Trakt auth2,2019-12-15,Closed,3876,379,16,json ,6
Fix: Aphrodite UI enhancements,2019-11-27,Merged,3873,"1,529","1,305",,7
Fixed: TVDB references in RefreshMovieService.cs,2019-11-12,Merged,3871,2,2,,1
Fixed: SSL certificate import,2019-11-07,Merged,3865,1,2,,1
New: Option to send notification when a Health Check warning occurs,2019-11-05,Merged,3861,253,5,cs ,18
Bump handlebars from 3.0.3 to 4.1.2,2019-11-09,Closed,3859,39,15,,2
Fixed: Quality Parser and Augmenter Picks Wrong Quality,2019-11-02,Merged,3848,"1,091",613,,6
Fixed: Added qBittorent state 'moving',2019-11-04,Merged,3847,2,1,,1
WIP Fixed: Quality Parsed Incorrectly on Import,2019-10-31,Closed,3843,382,382,,7
Auto blacklist failed torrents,2019-10-26,Closed,3841,"154,688","204,750",esprintrc gitattributes rc ,4
URL encode test collection title,2020-01-12,Closed,3839,1,1,,1
Added Discord notifications.,2019-11-13,Closed,3833,263,1,csproj ,8
Fixed: open links in new tab on meta click,2019-11-04,Merged,3831,7,7,,1
Add: Always Move Files When Importing,2019-10-20,Closed,3829,38,1,hbs ,5
Aphrodite fix update,2019-10-16,Merged,3823,17,9,cs ,6
Fixed: Replaced episode with movie in UpgradeSpecification,2019-10-11,Merged,3805,2,2,,1
New: Add List and Discovery Pages,2019-10-06,Merged,3803,"3,659",24,,1
New: Added links to wiki and examples from add/edit custom tags dialog,2019-11-24,Merged,3786,6,0,,1
Fixed: link to the custom format examples,2019-10-24,Merged,3785,1,1,,1
Fix RARBG URL Scheme,2019-09-15,Closed,3766,2,2,,2
Fix RARBG URL Scheme,2019-12-10,Merged,3765,2,2,,2
Fix MediaInfoFormatter: Unable to format audio channels using 'AudioC…,2019-11-30,Closed,3763,1,1,,1
Fix InvalidOperationException,2019-09-24,Closed,3762,1,1,,1
New: Port to .net Core 3.0,2019-10-16,Merged,3752,"5,766","26,983",gitignore ,2
Changed: Regenerate package-lock.json for secondary package updates,2019-09-09,Merged,3750,"4,984","5,770",,0
"New: Platform Updates, Socket Closure Workaround",2019-09-06,Merged,3746,"2,206",777,,9
Radarr nancy kestrel,2019-09-09,Merged,3744,"1,837","22,965",yml ,2
New: Convert to New CSProj Format,2019-09-04,Merged,3741,"18,759","18,441",yml xslt gitattributes gitmodules npmrc ,8
New: Get Custom Formats Working in Aphrodite,2019-08-31,Merged,3732,"1,066",50,css ,7
Set up CI with Azure Pipelines,2019-08-31,Closed,3730,370,109,cs csproj ,13
Updated isoLanguages.cs,2019-08-29,Closed,3726,3,3,,2
New: Added reposting groups as exclusions into CleanReleaseGroupRegex,2019-09-01,Merged,3720,11,1,,2
New: Use MediaInfo on File Parsing,2019-08-25,Merged,3718,"1,070",671,,6
Remove Nyaa (it's long dead).,2019-08-25,Closed,3716,40,237,csproj ,8
update qBittorrent metaDL state,2019-09-01,Closed,3699,5,0,,1
Fixed: Parse UHDRemux as Remux and not as WEB-DL,2019-09-01,Merged,3696,2,1,,2
Parse UHDRemux as Remux and not as WEB-DL,2019-08-15,Closed,3695,2,1,,2
New: Enable Sentry Analytics,2019-08-07,Merged,3669,698,"5,791",,1
"Fix warning when QBittorrent torrents are in the ""Downloading Metadata"" state",2019-09-05,Closed,3656,1,0,,1
Fixed: .srt files in subfolders are not being imported,2019-09-01,Merged,3647,30,12,,4
Fixed: Net Import Causes DB error due to Duplicates,2019-11-21,Closed,3620,25,47,,1
onGrab email update,2019-07-10,Closed,3613,4,1,,1
TMDB: Added support for People Cast and People Crew lists,2019-12-22,Closed,3612,198,34,,5
Fixed: Wanted Cutoff Page filters,2019-07-10,Merged,3611,48,13,,4
Fixed: TMDB Failing due to missing response header,2019-09-01,Merged,3610,14,8,,1
Update XbmcMetadata.cs,2019-07-16,Closed,3609,7,1,,1
New: Movie Editor in Movie Index,2019-07-13,Merged,3606,823,962,css ,21
Fixed: All integration tests and some code which was wrong.,2019-07-07,Merged,3604,105,77,cs csproj ,9
"Fixed: When refreshing info about a movie, the alt titles should now correctly be deleted / updated, even from TMDB.",2019-07-07,Merged,3603,181,33,csproj ,7
Add support for Ukrainian language.,2019-07-10,Merged,3594,10,1,,4
Initial support to Brazilian Portuguese (pt-br),2019-09-03,Closed,3590,26,4,,5
Authentication fix for Deluge v2,2019-06-21,Merged,3577,18,2,,1
"Added UHD, X265, WEB-DL etc. to NZB Finder",2020-01-11,Merged,3568,1,1,,1
Fixed: Movie Details Tab,2019-07-06,Merged,3564,"1,570",826,css ,11
Allow RefreshMovieInterval to be set from the UI,2019-10-07,Closed,3546,45,3,hbs ,5
Fix search for RARBG,2019-07-10,Merged,3544,9,3,,2
Feature/tmdb collection support #3538,2019-12-22,Closed,3541,149,88,cs ,5
Feature Request: Upgrade Custom Formats in Wanted #3246,2019-07-30,Closed,3535,42,22,cs ,4
Allow RefreshMovieInterval to be set from the UI,2019-05-21,Closed,3520,35,5,hbs ,6
Allow RefreshMovieInterval to be set from the UI,2019-05-10,Closed,3519,34,3,hbs ,5
Allow RefreshMovieInterval to be set from the UI,2019-05-10,Closed,3518,28,2,hbs ,5
added Watchlist and Favorites in the TMDB definitions,2019-12-22,Closed,3516,17,3,,3
#3514 fix library shown as empty after filter returns no movies and page is refreshed,2019-05-30,Merged,3515,5,1,,2
Fix bug copytoclipboard,2019-05-02,Merged,3495,91,58,,1
Jwildman16 256logo 1,2019-05-02,Merged,3479,0,0,,1
New: Added support for Gotify notifications,2019-05-02,Merged,3474,159,0,csproj ,6
Update 256.png to include transparency,2019-04-10,Closed,3470,6,0,,1
Fixed QBittorrent initial state paused,2019-03-23,Closed,3442,10,0,,1
Update CustomFormatService.cs,2019-05-02,Merged,3432,2,2,,1
Delete Empty Folders option,2019-05-25,Closed,3418,37,0,hbs ,5
Solve ambiguous naming,2019-05-02,Merged,3417,1,1,,1
Update README.md,2019-03-19,Merged,3409,1,1,,0
Aphrodite,2019-02-25,Closed,3395,"96,956","146,223",esprintrc gitignore npmrc yarnrc md cake sh json ,8
Changed: Adjust Max Slider Value for Qualities,2019-03-19,Merged,3393,2,2,hbs ,2
Fixed: Support new feed url format IPTorrents,2019-03-19,Merged,3390,62,4,,2
Fixed: Edition Tags Not Showing in UI,2019-03-19,Merged,3389,10,53,,8
New: Support Krypton Kodi Unique Ids,2019-03-19,Merged,3388,13,0,,1
Fixed: Cannot Add ITA or ITALIAN custom format,2019-02-24,Merged,3385,4,2,,2
Fixed: Forced Subs not parsed by SubtitleLanguageRegex,2019-02-24,Merged,3384,3,1,,2
Fixed: Error in unicode cleanup code removing most non-latin chars,2019-02-24,Merged,3383,1,1,,1
Fixed: Word Boundary on Edition,2019-02-24,Merged,3382,7,4,,2
New: Nzb Validation and Nzbget/SAB URLBase,2019-02-24,Merged,3380,458,82,nzb ,5
Fix mis-classification of releases as being Czech,2019-02-24,Merged,3378,2,1,,2
Match MBluray releases,2019-02-24,Merged,3358,7,1,,2
Update for V2 of QBittorrent API,2019-09-05,Closed,3356,145,32,,2
Update docker link in README,2019-01-31,Merged,3339,1,1,,0
qBittorrent API V2 Support,2019-02-08,Closed,3328,14,13,,1
Fixed: Prevent NullRef in CustomScript on Grab for Indexer,2019-02-18,Merged,3323,1,1,,1
Fix emby library update,2019-02-18,Merged,3318,20,8,,3
Added: Remote poster and fanart references to Kodi metadata file (#2837),2019-04-27,Merged,3302,27,4,,1
Use subfolder inside recycle bin when deleting,2019-05-25,Closed,3300,39,21,,7
Added support for forcedUP status,2018-12-30,Merged,3277,6,0,,1
New: Add Radarr_Download_Id and Radarr_Download_Client to PP scripts,2019-05-02,Merged,3276,9,3,,3
New: Use APIKey & APIUser for authenticating to PassThePopcorn.,2018-12-30,Merged,3264,73,18,csproj ,4
Add UHD-BR-DISK Quality,2019-02-18,Closed,3259,13,4,,3
Fixing Issue 840,2019-05-02,Merged,3233,33,3,hbs ,5
Logo Update,2019-03-20,Closed,3231,215,155,svg icns csproj ico xml json html ,92
Logo Update,2018-12-03,Closed,3230,215,155,svg icns csproj ico xml json html ,92
"Fixed: A lot of memory issues, such as IDisposable leakage and leaking all the media covers.",2019-01-10,Merged,3227,"2,439","2,299",debian/rules ,2
Add ability to unmonitor a movie after cutoff is met.,2018-12-06,Closed,3224,58,1,hbs ,5
New: rTorrent - Don't start download automatically,2018-12-07,Merged,3222,48,15,,4
Fixed: MediaInfo Unit Test Failing due to AudioAdditionalFeatures after MediaInfo update,2018-12-06,Merged,3221,2,2,,1
"New: Remove Pre, postbot, xpost suffixes from release groups",2018-12-07,Merged,3220,7,3,,3
New: Secure URLs for Links and Services,2018-12-07,Merged,3219,20,30,csproj js ,11
Fixed: TitleThe doesn't handle separators,2019-02-11,Closed,3218,93,20,cs ,3
Fixed: Bump default version to prevent update running from source,2018-12-07,Merged,3199,5,5,,2
Read video 'BitRate_Nominal' if 'BitRate' is empty,2018-11-07,Merged,3144,4,0,,1
Fallback to 'VideoCodec' if 'VideoFormat' is unavailable,2018-11-07,Merged,3142,8,7,js ,5
Increase minimum/current media info schema revision,2018-10-31,Closed,3141,4,3,,3
Improve model and UI handling for lists,2018-10-30,Merged,3133,3,5,,1
"Skip movie search if movie was added as ""unmonitored""",2018-10-30,Merged,3131,1,0,,1
Add tags support to NetImport (Lists),2019-05-02,Merged,3127,47,4,csproj js hbs ,10
Pull request for issue #3122: Exclude the snap locations from the disk usage list,2018-10-30,Closed,3124,9,4,,2
Fixes quality badge not being shown on bulk movie import,2018-10-30,Merged,3121,2,2,,1
Don't return unmapped folders on rootfolder API call,2018-10-23,Merged,3116,27,1,,2
Extra files stage2,2018-10-22,Closed,3113,12,15,hbs ,4
Feature/rename folders,2018-10-22,Closed,3112,469,57,csproj ,13
.,2018-10-22,Closed,3111,"15,456","8,855",yml gitattributes rc release gitignore name iml xml ,14
"Tweak style of movie path template on ""bulk import movies"" screen",2018-10-30,Merged,3108,11,1,less ,2
Trim filename from Kodi movie path before sending library scan request.,2018-10-30,Merged,3097,4,1,,1
Fix renamer behavior,2019-04-17,Closed,3096,15,26,,1
Add TMDB/IMDB url in Kodi metadata,2019-11-17,Merged,3095,125,116,,2
Add support for Homebrew-installed mono,2018-10-20,Merged,3090,4,0,,1
Include the URL to the TMDB page for the movie,2018-12-20,Closed,3059,3,0,,1
Refactor MediaInfo tokens (fixes old tokens adds new stuff),2018-10-30,Merged,3058,"1,071",260,dylib cs ,6
Allow directory to be parsed similar to past implementation,2018-10-15,Merged,3057,4,4,,1
WIP: Fixes {MediaInfo VideoCodec} token,2018-09-26,Closed,3056,958,237,,4
"Ignore ""special drives"" from System » Disk Space",2018-10-30,Merged,3050,183,6,csproj ,5
Fixed class names on the 'add movies screen',2018-09-24,Merged,3047,3,3,less ,2
Use proper cursor for text and linked labels,2018-09-24,Merged,3041,4,0,,1
"Add ""Add Paused"" option to Deluge and Transmission",2018-09-18,Merged,3038,24,10,,5
All-around small improvements,2018-09-18,Merged,3032,22,28,js hbs less ,21
"[WIP] Additions to custom formats, such as rescanning old files.",2018-09-10,Merged,2949,"1,321","3,765",xml iml cs csproj ,14
Add Czech Lang,2018-09-12,Merged,2948,15,4,,4
Bigger quality slider size for larger file limits,2018-07-19,Closed,2907,1,1,,1
Fixed: Debug log Series reference in QualityAllowedByProfile spec,2018-07-18,Merged,2899,1,1,,1
Fixed: Multiple UI Fixes and Additions,2018-07-15,Merged,2894,711,861,hbs ,19
Added: Adds unmonitored filter option in index and editor,2018-07-14,Merged,2888,19,1,,3
Added: Monitor Toggle on Movies Editor Page,2018-07-14,Merged,2887,10,0,,1
Added: Fallback to Bitrate_Nominal for MediaInfo,2018-09-12,Merged,2886,5,1,,1
Fixed: .vtt files treated as subtitles,2018-07-18,Merged,2885,2,1,,1
Fixed: multiline in table view,2018-07-15,Merged,2870,1,1,,1
fixed issue #2813,2018-09-24,Closed,2847,37,3,,2
"changed ""importing an episode"" to ""importing a movie file""",2018-07-08,Merged,2829,2,2,,2
New: Added indexer flags to the list of environmental variables,2018-05-24,Merged,2801,1,0,,1
Fixed: Don’t allow profile delete list,2018-05-21,Merged,2797,54,9,js ,3
New: Purge alt titles on movie delete,2018-05-21,Merged,2796,21,17,,2
New: mk3d file format,2018-09-18,Merged,2795,3,0,,2
Fixed: Rare timing issue on first-use causing duplicate naming config,2018-05-24,Merged,2790,28,4,csproj ,3
Fixed: Qbittorrent state and eta fixes,2018-05-21,Merged,2789,18,5,cs ,4
Fixed: Omgwtfnzbs api categories search need to be fix,2018-05-07,Merged,2764,1,1,,1
New: Use websockets to communicate with UI,2019-05-06,Closed,2729,"3,757","22,141",cs ,6
Fixed: Register Growl as Radarr to avoid issues with Sonarr,2018-04-16,Merged,2715,2,3,,1
Added: Setting for Colon Replacement Format,2018-04-16,Merged,2711,213,286,,12
Added: Enable Download Client Priorities,2018-04-15,Merged,2699,242,53,,15
"Add configurable setting for ""replace illegal characters"" behavior",2018-04-15,Closed,2696,507,380,cs csproj ,8
"Fixed: Multiple Calendar Issues, Other UI Fixes",2018-03-28,Merged,2685,112,957,hbs less ,10
Fixed: Add form param before submitting request,2018-03-26,Merged,2674,2,2,,1
[WIP] Added: Ability to add custom formats (work similar to qualities),2018-08-05,Merged,2669,"12,770","4,277",yml gitattributes release name iml xml md ,12
New: Setting for absolute maximum size for a release,2018-03-26,Merged,2662,220,66,csproj hbs ,9
Fixed: Don't add category when removing torrent from qBittorrent,2018-03-22,Merged,2661,5,5,,1
"Add configurable setting for ""replace illegal characters"" behavior",2018-04-03,Closed,2658,"5,627","5,518",,1
Set category when adding torrent to qBittorrent,2018-03-19,Merged,2649,10,0,,1
Added: Radarr now stores cookies for PTP beyond restarts.,2018-04-01,Merged,2643,"1,296",212,xml iml ,3
Fixed: Misc Extra File Improvements,2018-04-01,Merged,2642,343,95,csproj ,11
Add underscore to host part of URI regex,2018-03-22,Merged,2633,1,1,,1
Fixed: Incorrect Kodi nfo date format,2018-03-05,Merged,2605,2,2,,1
Fixed: Pin Cake and Addin Versions,2018-03-01,Merged,2590,19,9,cake ps1 config ,4
Cleanup Series Code,2018-03-14,Merged,2589,"2,837","18,869",,8
Fixed: Movies not getting unmonitored when folder gets deleted,2018-03-04,Merged,2588,1,6,,1
changed: which event handler triggers movie search,2018-03-04,Merged,2587,1,1,,1
Fixed: Multiple History Issues,2018-02-26,Merged,2571,33,269,,5
Fixed: Poster sliding issues,2018-02-26,Merged,2570,8,8,hbs less ,3
Parsing of resolution in TVRips,2018-02-22,Closed,2566,16,2,,2
movie metadata links,2018-02-21,Merged,2562,34,31,less ,5
Another Delete modal that needed the fix. Fixes #2537,2018-02-21,Merged,2560,4,2,,1
osx app has bundle name of Sonarr,2018-02-20,Merged,2555,1,1,,1
